# C/N/O/H reaction network based on Venot et al. (2012) with some revision
# Two-body Reactions
# id	Reactions                           	A       	B       	C
[ NCO + OH -> NO +  HCO  ]				  8.3100E-12  0.0000E+00  7.5400E+03 
[ NCO + NO -> N2O + CO  ]				  7.6417E-06 -2.0100E+00  4.7000E+02 
[ NCO + NO -> N2 + CO2 ]				  9.6235E-06 -2.0100E+00  4.7000E+02 
[ NCO + O2  -> NO + CO2 ]				  3.3200E-12  0.0000E+00  1.0100E+04 
[ NCO + HCO  -> HNCO + CO  ]				  5.9800E-11  0.0000E+00  0.0000E+00 
[ NCO + NO2  ->  CO + NO + NO ]				  4.7000E-11 -6.4600E-01 -1.6400E+02 
[ NCO + NO2 ->  CO2 + N2O    ]				  5.9348E-10 -6.4600E-01 -1.6400E+02 
[ NCO + HNO  -> HNCO + NO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ NCO + NCO ->  CO + CO + N2 ]				  4.9800E-12  0.0000E+00  0.0000E+00 
[ NO + HCO -> CO + HNO ]				  1.2044E-10 -4.0000E-01  0.0000E+00 
[ NO2 + CO -> CO2 + NO  ]				  1.5000E-10  0.0000E+00  1.7000E+04 
[ NO2 + HCO ->  H + CO2 + NO   ]				  1.3984E-08 -7.5000E-01  9.7000E+02 
[  CH3O + NO2  -> HONO + H2CO]				  4.9800E-12  0.0000E+00  0.0000E+00 
[ CH3O + NO  -> H2CO + HNO ]				  2.1571E-10 -7.0000E-01  0.0000E+00 
[ NO2 + H2CO -> HONO + HCO ]				  1.6600E-14  0.0000E+00  7.5900E+03 
[ NO + H2CO -> HNO + HCO  ]				  1.6600E-11  0.0000E+00  2.0500E+04 
[ NO2 + HCO -> HONO + CO ]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ NO2 + HCO -> OH + NO + CO  ]				  1.6600E-10  0.0000E+00  0.0000E+00 
[ CN + CH4  ->  HCN + CH3  ]				  1.4953E-19  2.6400E+00 -1.5100E+02 
[ NH + CO2 -> HNO + CO ]				  1.6600E-11  0.0000E+00  7.2200E+03 
[  NCO + CH4 -> HNCO + CH3]				  1.6600E-11  0.0000E+00  4.0900E+03 
[ C + N2O  ->  CN + NO  ]				  7.9700E-12  0.0000E+00  0.0000E+00 
[ CH + NH2 -> HCN + H + H  ]				  4.9800E-11  0.0000E+00  0.0000E+00 
[ CH + NH -> HCN + H ]				  8.3100E-11  0.0000E+00  0.0000E+00 
[ CH + N2O  ->  HCN + NO ]				  2.2300E-11  0.0000E+00 -2.5600E+02 
[  CH + N2O -> CO + H + N2 ]				  8.6400E-12  0.0000E+00 -2.5600E+02 
[ CH3NO2 + OH  -> H2CO + NO + H2O  ]				  4.9778E-18  2.0000E+00  1.0100E+03 
[ CH3NO2 + H ->  H2CO + NO + H2 ]				  7.7600E-12  0.0000E+00  1.8800E+03 
[ CH3NO2 + CH3  ->  H2CO + NO + CH4 ]				  1.1800E-12  0.0000E+00  5.6000E+03 
[ HNO2 + H -> NO2 + H2 ]				  3.9837E-16  1.5000E+00  2.5600E+03 
[ HNO2 + OH -> NO2 + H2O  ]				  1.9889E-18  2.0000E+00 -3.0000E+02 
[ HNO2 + CH3 ->  NO2 + CH4 ]				  1.3457E-18  1.8700E+00  2.4300E+03 
[ HONO2 + OH  ->  NO3 + H2O   ]				  1.7100E-14  0.0000E+00 -6.2300E+02 
[ CH3OO  + NO  ->  CH3O + NO2   ]				  4.2000E-12  0.0000E+00 -1.8000E+02 
[ C2H5OO + NO -> C2H5O + NO2  ]				  4.2000E-12  0.0000E+00 -1.8000E+02 
[ C2H5O + NO  -> CH3CHO + HNO  ]				  6.6486E-11 -6.0000E-01  0.0000E+00 
[ C2H5 + NO2  -> C2H5O + NO ]				  2.2600E-11  0.0000E+00  0.0000E+00 
[ CH2CHO + NO2  -> H2CO + HCO + NO ]				  1.6600E-11  0.0000E+00  0.0000E+00 
[ C2H5O + NO2 ->  CH3CHO + HONO    ]				  4.4900E-12  0.0000E+00  5.2800E+01 
[  HNO + NO2   -> HNO2 + NO ]				  4.9800E-13  0.0000E+00  1.0000E+03 
[ 1C3H7 +  NO2  -> NO + C3H7O  ]				  6.6338E-11 -2.0000E-01  0.0000E+00 
[ 1C4H9 + NO2  ->  NO  + C4H9O   ]				  6.6338E-11 -2.0000E-01  0.0000E+00 
[ C2H6 + NO2  ->   C2H5 + HONO ]				  3.6500E-11  0.0000E+00  1.5600E+04 
[ C3H8 + NO2   ->  1C3H7 +  HONO ]				  3.6500E-11  0.0000E+00  1.5600E+04 
[ C3H8 + NO2 ->  2C3H7  + HONO  ]				  9.6300E-12  0.0000E+00  1.4100E+04 
[ C4H10 + NO2  -> 1C4H9 + HONO    ]				  9.6300E-12  0.0000E+00  1.4100E+04 
[ C4H10 + NO2  -> 2C4H9 + HONO ]				  3.6500E-11  0.0000E+00  1.5600E+04 
[ C2H5 + HNO  ->    NO  + C2H6 ]				  2.4373E-13  7.6000E-01  1.7600E+02 
[ 1C3H7 + HNO -> NO + C3H8  ]				  2.4373E-13  7.6000E-01  1.7600E+02 
[ 2C3H7 + HNO  -> NO + C3H8  ]				  2.4373E-13  7.6000E-01  1.7600E+02 
[ 1C4H9 + HNO ->  NO + C4H10 ]				  2.4373E-13  7.6000E-01  1.7600E+02 
[ 2C4H9 + HNO ->  NO + C4H10 ]				  2.4373E-13  7.6000E-01  1.7600E+02 
[ HCN + N2  -> H  + CN +  N2  ]				  5.9838E+02 -2.6000E+00  6.2800E+04 
[ HCN +  O2  ->  CN  +  OOH     ]				  4.9800E-11  0.0000E+00  3.7800E+04 
[ CN + O2  ->  NO  + CO ]				  4.6530E-07 -2.0000E+00  0.0000E+00 
[ CN  + H2CO  ->  HCN + HCO ]				  6.9800E-11  0.0000E+00  0.0000E+00 
[ CN + HNO ->  HCN + NO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ CN + HONO -> HCN + NO2  ]				  1.9900E-11  0.0000E+00  0.0000E+00 
[  CN + N2O -> NCN + NO  ]				  6.3101E-21  2.6000E+00  1.8600E+03 
[ CN + NCO -> NCN + CO ]				  2.9900E-11  0.0000E+00  0.0000E+00 
[ HCNO + OH  -> H2CO + NO ]				  1.6600E-12  0.0000E+00  0.0000E+00 
[  HCNO + OH  -> NO + CO + H2]				  1.0800E-11  0.0000E+00  0.0000E+00 
[ HCNO  +  OH ->   NCO + H + OH ]				  7.4800E-12  0.0000E+00  0.0000E+00 
[ HCNO + OH ->  NCO + H2O ]				  5.8100E-12  0.0000E+00  0.0000E+00 
[ HCNO + OH  ->  HCO + HNO  ]				  7.4800E-12  0.0000E+00  0.0000E+00 
[ NH + NH -> N2 + H + H ]				  4.1500E-11  0.0000E+00  0.0000E+00 
[ CN + N2O  ->  CNN + NO  ]				  9.9700E-11  0.0000E+00  7.7200E+03] ) 
